[2026-04-13 01:01:11,775] 25 root - INFO - Entered the data ingestion method or component
[2026-04-13 01:01:12,021] 28 root - INFO - Read the dataset as dataframe
[2026-04-13 01:01:12,093] 32 root - INFO - Train test split initiated
[2026-04-13 01:01:12,244] 36 root - INFO - Ingestion of the data is completed
[2026-04-13 01:01:12,295] 56 root - INFO - Read train and test data completed
[2026-04-13 01:01:12,295] 57 root - INFO - Obtaining preproccessor object
[2026-04-13 01:01:12,295] 41 root - INFO - Categorical and numerical pipeline is created
[2026-04-13 01:01:12,302] 65 root - INFO - Applying preprocessor object on training and testing dataframe
[2026-04-13 01:01:12,405] 31 root - INFO - Split training and test input data
